"Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"Siloso Beach Resort, Sentosa",2016,"SilosoBeachResort,Sentosa_2016","Private company","SME","Tourism/Leisure","Tourism/Leisure","Singapore","Asia","No","english"
"SilverBridge",2016,"SilverBridge_2016","Private company","Large","Computers","Technology and Communications","South Africa","Africa",NA,"english"
"Simply Market Italy",2016,"SimplyMarketItaly_2016","Subsidiary","Large","Retailers","Consumer Goods","Italy","Europe",NA,"non-english"
"Sims Metal Management",2016,"SimsMetalManagement_2016","Private company","MNE","Metals Products","Extractives and Minerals Processing","Australia","Oceania","No","english"
"Sinbon Electronics Co., Ltd.",2016,"SinbonElectronicsCo.,Ltd._2016","Private company","MNE","Technology Hardware","Technology and Communications","Taiwan","Asia","No","non-english"
"Singamas",2016,"Singamas_2016","Private company","Large","Logistics","Transportation","Hong Kong","Asia",NA,"non-english"
"Singapore Airlines Limited",2016,"SingaporeAirlinesLimited_2016","Subsidiary","Large","Aviation","Transportation","Singapore","Asia","No","english"
"Singapore Exchange (SGX)",2016,"SingaporeExchange(SGX)_2016","Private company","MNE","Financial Services","Financials","Singapore","Asia","No","english"
"SingTel - Singapore Telecommunications Limited",2016,"SingTel-SingaporeTelecommunicationsLimited_2016","Private company","Large","Telecommunications","Technology and Communications","Singapore","Asia","No","english"
"SingTel Optus",2016,"SingTelOptus_2016","Subsidiary","Large","Telecommunications","Technology and Communications","Australia","Oceania","No","english"
"Sino Group",2016,"SinoGroup_2016","Private company","MNE","Real Estate","Infrastructure","Hong Kong","Asia","No","english"
"Sino Horizon Holdings Limited",2016,"SinoHorizonHoldingsLimited_2016","Private company","MNE","Construction Materials","Extractives and Minerals Processing","Taiwan","Asia","No","non-english"
"Sino Hotels",2016,"SinoHotels_2016","Subsidiary","Large","Tourism/Leisure","Tourism/Leisure","Hong Kong","Asia",NA,"english"
"Sino Land",2016,"SinoLand_2016","Private company","MNE","Real Estate","Infrastructure","Hong Kong","Asia",NA,"english"
"Sinoma International Engineering",2016,"SinomaInternationalEngineering_2016","Subsidiary","Large","Construction","Infrastructure","Mainland China","Asia",NA,"non-english"
"SINOMA SCIENCE & TECHNOLOGY",2016,"SINOMASCIENCE&TECHNOLOGY_2016","Private company","Large","Other","Other","Mainland China","Asia",NA,"non-english"
"Sinomach Automobile",2016,"SinomachAutomobile_2016","State-owned company","Large","Automotive","Transportation","Mainland China","Asia",NA,"non-english"
"Sinon Corporation",2016,"SinonCorporation_2016","Private company","MNE","Chemicals","Resource Transformation","Taiwan","Asia","No","non-english"
"Sinotrans Air Transportation Development",2016,"SinotransAirTransportationDevelopment_2016","State-owned company","Large","Logistics","Transportation","Mainland China","Asia",NA,"non-english"
"SINTEF",2016,"SINTEF_2016","Non-profit organization","Large","Other","Other","Norway","Europe",NA,"english"
"sipchem",2016,"sipchem_2016","Private company","Large","Chemicals","Resource Transformation","Saudi Arabia","Asia","No","english"
"Sirio Libanes Hospital",2016,"SirioLibanesHospital_2016","Non-profit organization","Large","Healthcare Services","Healthcare","Brazil","Latin America & the Caribbean","No","non-english"
"Sirtec International",2016,"SirtecInternational_2016","Private company","Large","Computers","Technology and Communications","Taiwan","Asia",NA,"non-english"
"Sisecam",2016,"Sisecam_2016","Private company","Large","Other","Other","Turkey","Asia","No","english"
"Sistema (Public Joint-Stock Financial Corporation Sistema)",2016,"Sistema(PublicJoint-StockFinancialCorporationSistema)_2016","Private company","Large","Financial Services","Financials","Russian Federation","Europe","No","english"
"Sistema Federação das Indústrias do Estado do Paraná - FIEP",2016,"SistemaFederaçãodasIndústriasdoEstadodoParaná-FIEP_2016","Non-profit organization","Large","Non-Profit / Services","Non-Profit / Services","Brazil","Latin America & the Caribbean","No","non-english"
"SITA",2016,"SITA_2016","Subsidiary","Large","Telecommunications","Technology and Communications","United Kingdom of Great Britain and Northern Ireland","Europe","No","english"
"SIVECO ROMANIA SA",2016,"SIVECOROMANIASA_2016","Private company","Large","Other","Other","Romania","Europe","No","english"
"SJEC Corporation",2016,"SJECCorporation_2016","Private company","SME","Equipment","Resource Transformation","Mainland China","Asia",NA,"non-english"
"SK Telecom",2016,"SKTelecom_2016","Private company","MNE","Telecommunications","Technology and Communications","Korea, Republic of","Asia",NA,"english"
"Skandia",2016,"Skandia_2016","Subsidiary","MNE","Financial Services","Financials","Sweden","Europe","Yes","english"
"Skanska",2016,"Skanska_2016","Private company","MNE","Construction","Infrastructure","Sweden","Europe",NA,"english"
"SKF Group",2016,"SKFGroup_2016","Private company","MNE","Metals Products","Extractives and Minerals Processing","Sweden","Europe","Yes","english"
"SKK Migas",2016,"SKKMigas_2016","Public institution","Large","Energy","Extractives and Minerals Processing","Indonesia","Asia",NA,"non-english"
"Skycity Entertainment Group Limited",2016,"SkycityEntertainmentGroupLimited_2016","Private company","Large","Tourism/Leisure","Tourism/Leisure","Australia","Oceania",NA,"english"
"Skyworks",2016,"Skyworks_2016","Private company","MNE","Other","Other","United States of America","Northern America",NA,"english"
"slowUp Murten",2016,"slowUpMurten_2016","Non-profit organization","SME","Tourism/Leisure","Tourism/Leisure","Switzerland","Europe",NA,"non-english"
"SM Prime Holdings, Inc.",2016,"SMPrimeHoldings,Inc._2016","Private company","MNE","Other","Other","Philippines","Asia","No","english"
"SMBC Nikko",2016,"SMBCNikko_2016","Subsidiary","MNE","Financial Services","Financials","Japan","Asia","No","non-english"
"SMBHK",2016,"SMBHK_2016","Private company","Large","Food and Beverage Products","Food and Beverage","Hong Kong","Asia",NA,"english"
"SMEC Holdings Pty Ltd",2016,"SMECHoldingsPtyLtd_2016","Private company","Large","Commercial Services","Financials","Australia","Oceania",NA,"english"
"Smith & Nephew",2016,"Smith&Nephew_2016","Private company","Large","Healthcare Products","Healthcare","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"SMRT Corporation Limited",2016,"SMRTCorporationLimited_2016","Private company","Large","Other","Other","Singapore","Asia","No","english"
"Smuckers",2016,"Smuckers_2016","Private company","Large","Food and Beverage Products","Food and Beverage","United States of America","Northern America",NA,"english"
"Smurfit Kappa",2016,"SmurfitKappa_2016","Private company","Large","Forest and Paper Products","Renewable Resources & Alternative Energy","Ireland","Europe",NA,"english"
"Smurfit Kappa Cartón de Colombia",2016,"SmurfitKappaCartóndeColombia_2016","Private company","Large","Forest and Paper Products","Renewable Resources & Alternative Energy","Colombia","Latin America & the Caribbean","Yes","non-english"
"Snam",2016,"Snam_2016","Private company","Large","Energy Utilities","Infrastructure","Italy","Europe","No","english"
"SNCF",2016,"SNCF_2016","State-owned company","MNE","Railroad","Infrastructure","France","Europe",NA,"non-english"
"SNIIP",2016,"SNIIP_2016","State-owned company","Large","Energy Utilities","Infrastructure","Russian Federation","Europe",NA,"non-english"
"SNPTC",2016,"SNPTC_2016","State-owned company","Large","Energy","Extractives and Minerals Processing","Mainland China","Asia",NA,"non-english"
"Sociedade Beneficente Israelita Brasileira Albert Einstein",2016,"SociedadeBeneficenteIsraelitaBrasileiraAlbertEinstein_2016","Private company","Large","Healthcare Services","Healthcare","Brazil","Latin America & the Caribbean","No","non-english"
"Sociedade Mineira de Catoca",2016,"SociedadeMineiradeCatoca_2016","Private company","Large","Mining","Extractives and Minerals Processing","Angola","Africa",NA,"non-english"
"Società Cattolica di Assicurazione",2016,"SocietàCattolicadiAssicurazione_2016","Private company","Large","Other","Other","Italy","Europe",NA,"non-english"
"Société de transport de Montréal (STM)",2016,"SociétédetransportdeMontréal(STM)_2016","Public institution","Large","Public Agency","Services","Canada","Northern America","No","english"
"Société D'Énergie Et D'Eau Du Gabon VEOLIA EAU",2016,"SociétéD'ÉnergieEtD'EauDuGabonVEOLIAEAU_2016","Private company","Large","Water Utilities","Infrastructure","Gabon","Africa",NA,"non-english"
"Société foncière lyonnaise",2016,"Sociétéfoncièrelyonnaise_2016","Private company","SME","Real Estate","Infrastructure","France","Europe","No","non-english"
"Société General Burkina Faso",2016,"SociétéGeneralBurkinaFaso_2016","Private company","Large","Financial Services","Financials","Burkina Faso","Africa",NA,"non-english"
"Society of Motor Manufacturers & Traders (SMMT)",2016,"SocietyofMotorManufacturers&Traders(SMMT)_2016","Private company","Large","Automotive","Transportation","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"english"
"Sodexo",2016,"Sodexo_2016","Private company","Large","Commercial Services","Financials","France","Europe","No","english"
"Sodexo US",2016,"SodexoUS_2016","Subsidiary","MNE","Commercial Services","Financials","United States of America","Northern America","No","english"
"Sodimac",2016,"Sodimac_2016","Private company","MNE","Retailers","Consumer Goods","Chile","Latin America & the Caribbean","No","non-english"
"Sofidel",2016,"Sofidel_2016","Private company","Large","Forest and Paper Products","Renewable Resources & Alternative Energy","Italy","Europe","No","non-english"
"SoftBank",2016,"SoftBank_2016","Private company","SME","Telecommunications","Technology and Communications","Japan","Asia",NA,"english"
"Sogin",2016,"Sogin_2016","Private company","Large","Energy","Extractives and Minerals Processing","Italy","Europe","No","non-english"
"Soitec",2016,"Soitec_2016","Private company","MNE","Energy Utilities","Infrastructure","France","Europe",NA,"non-english"
"Sojitz",2016,"Sojitz_2016","Private company","Large","Conglomerates","Conglomerates","Japan","Asia","No","english"
"Sokol Blosser Winery",2016,"SokolBlosserWinery_2016","Private company","SME","Food and Beverage Products","Food and Beverage","United States of America","Northern America","No","english"
"SolarCity",2016,"SolarCity_2016","Private company","MNE","Energy","Extractives and Minerals Processing","United States of America","Northern America",NA,"english"
"SolarWorld",2016,"SolarWorld_2016","Private company","Large","Energy","Extractives and Minerals Processing","Germany","Europe","No","english"
"Solidium Oy",2016,"SolidiumOy_2016","State-owned company","MNE","Financial Services","Financials","Finland","Europe","No","english"
"Solocal Group",2016,"SolocalGroup_2016","Private company","MNE","Other","Other","France","Europe",NA,"english"
"SOLVAY s.a.",2016,"SOLVAYs.a._2016","Private company","MNE","Chemicals","Resource Transformation","Belgium","Europe","Yes","english"
"Solví Soluções para Vida",2016,"SolvíSoluçõesparaVida_2016","Private company","Large","Conglomerates","Conglomerates","Brazil","Latin America & the Caribbean","No","non-english"
"SOMAGUE Engenharia",2016,"SOMAGUEEngenharia_2016","Private company","Large","Construction","Infrastructure","Portugal","Europe","No","non-english"
"Somboon Advance Technology Pcl",2016,"SomboonAdvanceTechnologyPcl_2016","Private company","Large","Automotive","Transportation","Thailand","Asia","No","english"
